id,likeNum,commentsLen,reposts_count,region,content,created_at,type,detailUrl,emotion
5.14855E+15,60186,1172,4314,重庆,"坏了,真让他养到黑猫警长了",2025/3/26,动漫,https://weibo.com/5148552822787738/Pkn50bHdw,积极
5.14296E+15,1673,112,84,上海,"iron man 钢铁侠动画中,托尼的穿甲方式,你知道嘛《doge》",2025/3/11,动漫,https://weibo.com/5142963308201096/Pi1FEyptK,消极
5.15128E+15,43,646,29,四川," 中医世家|方子很土,但补气真的太快!喝出好气色又好吃,做法还简单! ",2025/4/3,健康,https://weibo.com/5151276833966198/PlvWzgDMW,积极
5.14864E+15,14278,355,121,安徽,跳给集看的 ,2025/3/27,动漫,https://weibo.com/5148638977721040/PkpjXwoAU?,积极
5.14966E+15,31,26,7,四川,你的出生月份对应了哪个梦工厂的角色?,2025/3/29,,https://weibo.com/1592684195/PkPOysaEd?pagetype=hot?,中性
5.14274E+15,11454,433,257,泰国,"坏了,中了刮骨刀!",2025/3/10,动漫,https://weibo.com/5142740472696180/PhVSfbjoM?,积极
5.1525E+15,7565,157,525,河南,"《姐姐》看到大家调侃吴宣仪30岁了也会遇到属于她的朱天天,莫名想起这个创后一年又一年记挂着她的朱天天……",2025/4/6,热门,https://weibo.com/5152501884782201/Pm1Osk44h,积极
5.15312E+15,12034,497,368,无,"特朗普关税政策导致市场动荡,也让美国富豪净资产大幅缩水。一直站在特朗普一边的美国政府效率部门负责人,全球首富马斯克也终于""忍不住""开始批评特朗普的首席贸易顾问,关税支持者纳瓦罗。对马斯克的批评,纳瓦罗则在6日接受福克斯新闻采访时予以还击。纳瓦罗在回应马斯克的攻击时,使用""他就是个卖车的""描述马斯克是在作为商人维护其个人利益,而不关心美国的汽车产业。纳瓦罗在反驳马斯克时称:""我们更关心的是,让底特律的工厂用美国的发动机制造美国品牌汽车。""(央视新闻)",2025/4/8,热门,https://weibo.com/5153119663296359/PmhSSdPx5,消极
5.15203E+15,15175,844,2521,无," 刺桐花正浓,正是来泉州寻音的好时候!本期 泉州站,寻音乐队 ,将在音乐地接人 的带领下,来到这座非遗之城,感受非遗""南音""的魅力。今天19:30,cctv-3央视综艺频道,央视频,央视网,腾讯视频,爱奇艺,寻音之旅等你出发~",2025/4/5,热门,https://weibo.com/5152025244337680/PlPpGicqA,积极
5.15318E+15,5099,250,2353,河北," 清华你无需多言,考上了我一会去。 ",2025/4/8,热门,https://weibo.com/5153179188593926/PmjqSA3FI,积极
5.15311E+15,16733,1474,139,无," 4月8日,合肥三只羊网络科技有限公司(以下简称""三只羊"")自营品牌""小杨臻选""app在多个应用市场上线。三只羊一内部人士告诉极目新闻记者,小杨臻选是三只羊的自营商城,""自己做商城更垂直,可以更直观地将商品展现给大众。"" 在直播带货行业,""三只羊""""小杨哥""曾风头无两,然而因涉虚假宣传和产品质量等问题,三只羊去年被停播并接受处罚。 近期,三只羊频频传出新消息。3月23日,合肥市联合调查组发布通报,三只羊公司已足额缴纳罚没款,整改符合要求,具备恢复经营条件。企查查app显示,近日,三只羊新增食品经营许可证,许可内容为散装食品和预包装食品销售(不含散装熟食销售),食品销售连锁管理,许可机关为合肥高新技术产业开发区市场监督管理局。 4月8日上午,记者发现""小杨臻选""app在各大应用市场上线。三只羊一内部人士告诉极目新闻记者,小杨臻选是三只羊的自营商城。""自己做商城,这样更加垂直。无论是供应链,还是产品设计,都可以更直观地展现在大众面前,同时也便于我们更好地服务消费者。""该内部人士还提到,app只是三只羊业务板块之一,今后的每一步还需要稳扎稳打,对市场保持敬畏,再去做相应的调整,""但我们传递快乐的价值观是不变的。""对于广大网友关心的复播问题,该内部人士表示还在准备中。",2025/4/8,榜单,https://weibo.com/5153113096585778/PmhIhrDge,消极
5.15315E+15,54529,14609,10434,陕西,分享~,2025/4/8,榜单,https://weibo.com/5153150453679766/PmiGxfrh4,积极
5.15315E+15,12314,7808,3715,北京," 练习🎾 新手上路,请多指教《挤眼》",2025/4/8,榜单,https://weibo.com/5153153809910132/PmiLWFA4Q,积极
5.15239E+15,114431,8856,911,无,"《转发分享!》 《爱你》《陌上又花开》《玫瑰的故事》《国色芳华》《梦花廷》《十万狂花入梦来》《千朵桃花一世开》《花间令》《惜花芷‎》……春天,就要看花花浓度拉满的电视剧,你最推荐哪一部?《送花花》",2025/4/6,榜单,https://weibo.com/5152390680675318/PlYV62PGe,积极
5.15315E+15,16613,2579,2790,广西,抓住春天🌼🌼🌼,2025/4/8,榜单,https://weibo.com/5153153892745616/PmiM5bwg8,积极
5.1531E+15,5478,1580,500,北京,"特朗普的最新威胁相当于对中国发""最后通牒"",商务部的第一回应已经表达了中方的蔑视。华盛顿把中国当成了亚洲或南美的某个小国,以为会一吓唬就往后退缩。 关税战升级一触即发,特朗普想要压倒中国,逼世界第二大经济体就范,无疑错打了算盘。54%的关税已经是超越了大多数公司的商业极限,但是中国扛了,反击了,再加征50%,达到104%,这与54%有根本区别吗?让美方自己去品咂吧。之前万斯说中国是""乡巴佬"",这个从美国乡村走出来的真正""乡巴佬""似乎有见识上的残缺,很多人劝他到中国看一看。 如果谈判解决贸易纠纷的大门真被特朗普堵死了,中美之间全球最大之一的双边贸易将迅速萎缩,几近中断,这就是特朗普威胁的实质。中国被迫,也必须奉陪到底。 中美的很多生意做不成了,脱钩过程会非常混乱,那将是双方的痛苦。对美国来说,关税战是一场""自找的经济灾难"",他们内部注定分歧很大,目前特朗普团队已经出现明显的裂痕迹象,马斯克和纳瓦罗已经公开互怼。对中国来说,应战是被强加的,调整即使不容易,也唯有往前走。毕竟对美出口只剩中国对外出口总额的14.6%了,而且这些只占中国gdp的2.3%,这构不成对中国经济的根本冲击。重要的是,事情被逼到这一步,中国社会将横下心来应对,被逼出来的一定是韧性和新的开拓精神。只要努力,东方不亮西方亮,中国生生不息,中国发展的源泉也注定生生不息。 说到这里,必须谈谈更底线的事情,那就是,世界第一和第二大经济体断然脱钩的过程和尽头肯定不仅仅是经济的事情。它将伴随相互敌意的迅速发酵,形成地缘政治的严重不确定性,双方的互动方式会不断遭到华盛顿的毒化。 历史的经验是,当边境上商队消失时,就会有军队出没;大海上商船越来越少时,军舰就会成为主角。希望现代世界能够比历史上展现更多理性,但大家看,特朗普个人的一个执念,就可以推翻人类积累了大几十年的现代贸易体系。理性在哪?我觉得自己看不清。 所以,做好一切准备吧,包括最坏的准备。当我们对最坏情况胸有成竹,一切措施就绪时,它就不会发生了。帝国主义的典型特征是欺软怕硬。 我个人反复表达过这样的意见:军力建设对中国至关重要,中国核武库的扩大尤其是关键所在。我们的对面已经疯了,中国必须在他们疯狂链的尽头实施令他们惊骇的威慑,确保他们的冲动和所作所为不穿越最后的临界点走向极限。我们这样的震慑力需要是充分强大的,毫无疑问的。要让对方充分了解我们的坚强意志不可撼动。 在这样的格局下,我们就可以从容把握接下来斗争的方式和节奏,以招拆招。中国文明是最善于长期博弈的,时间会成为各种针对中国野心的坟墓。 最后需要说明一下,老胡谈的是底线思维,事情不会很快走到很严重的地步,而且我们把底线夯得越扎实,现实情况就越可能走不到我们准备应对的地步。 纵观人类的大国博弈,其方式是朝着文明方向缓慢进步的,很多原因推动了这种进步。中国是大国文明博弈的当代守护者,所以我们必须握紧底牌,同时不急不恼,认真做好我们自己的事情。中国穿越21世纪地缘政治激流的和平发展将是我们献给人类历史的最大礼物。",2025/4/8,榜单,https://weibo.com/5153102378831952/PmhqZB3AQ,积极
5.15288E+15,4304,1325,1126,福建,😘,2025/4/7,榜单,https://weibo.com/5152883679955678/PmbKfFLVs,积极
